lat: 31.484163, lng: 74.385810, accuracy:5.000000
lat: 31.484217, lng: 74.385742, accuracy:5.000000
lat: 31.484266, lng: 74.385639, accuracy:5.000000
lat: 31.484321, lng: 74.385574, accuracy:5.000000
lat: 31.484378, lng: 74.385484, accuracy:5.000000
lat: 31.484429, lng: 74.385414, accuracy:5.000000
lat: 31.484489, lng: 74.385328, accuracy:5.000000
lat: 31.484547, lng: 74.385249, accuracy:5.000000
lat: 31.484601, lng: 74.385167, accuracy:5.000000
lat: 31.484662, lng: 74.385081, accuracy:5.000000
lat: 31.484725, lng: 74.385001, accuracy:5.000000
lat: 31.484783, lng: 74.384916, accuracy:5.000000
lat: 31.484838, lng: 74.384837, accuracy:5.000000
lat: 31.484890, lng: 74.384761, accuracy:5.000000
lat: 31.484943, lng: 74.384689, accuracy:5.000000
lat: 31.484996, lng: 74.384617, accuracy:5.000000
lat: 31.485044, lng: 74.384546, accuracy:5.000000
lat: 31.485093, lng: 74.384474, accuracy:5.000000
lat: 31.485149, lng: 74.384420, accuracy:5.000000
lat: 31.485196, lng: 74.384355, accuracy:5.000000
lat: 31.485244, lng: 74.384288, accuracy:5.000000
lat: 31.485301, lng: 74.384215, accuracy:5.000000
lat: 31.485362, lng: 74.384170, accuracy:5.000000
lat: 31.485410, lng: 74.384106, accuracy:5.000000
lat: 31.485457, lng: 74.384030, accuracy:5.000000
lat: 31.485506, lng: 74.383961, accuracy:5.000000
lat: 31.485555, lng: 74.383892, accuracy:5.000000
lat: 31.485605, lng: 74.383815, accuracy:5.000000
lat: 31.485662, lng: 74.383724, accuracy:5.000000
lat: 31.485718, lng: 74.383652, accuracy:5.000000
lat: 31.485775, lng: 74.383573, accuracy:5.000000
lat: 31.485822, lng: 74.383490, accuracy:5.000000
lat: 31.485884, lng: 74.383413, accuracy:5.000000
lat: 31.485938, lng: 74.383335, accuracy:5.000000
lat: 31.485990, lng: 74.383247, accuracy:5.000000
lat: 31.486049, lng: 74.383161, accuracy:5.000000
lat: 31.486118, lng: 74.383068, accuracy:5.000000
lat: 31.486172, lng: 74.382983, accuracy:5.000000
lat: 31.486230, lng: 74.382898, accuracy:5.000000
lat: 31.486270, lng: 74.382803, accuracy:5.000000
lat: 31.486334, lng: 74.382717, accuracy:5.000000
lat: 31.486394, lng: 74.382636, accuracy:5.000000
lat: 31.486457, lng: 74.382558, accuracy:5.000000
lat: 31.486516, lng: 74.382475, accuracy:5.000000
lat: 31.486583, lng: 74.382394, accuracy:5.000000
lat: 31.486641, lng: 74.382321, accuracy:5.000000
lat: 31.486693, lng: 74.382243, accuracy:5.000000
lat: 31.486744, lng: 74.382172, accuracy:5.000000
lat: 31.486794, lng: 74.382087, accuracy:5.000000
lat: 31.486844, lng: 74.381997, accuracy:5.000000
lat: 31.486893, lng: 74.381921, accuracy:5.000000
lat: 31.486940, lng: 74.381848, accuracy:5.000000
lat: 31.486987, lng: 74.381785, accuracy:5.000000
lat: 31.487023, lng: 74.381715, accuracy:5.000000
lat: 31.487074, lng: 74.381651, accuracy:5.000000
lat: 31.487130, lng: 74.381569, accuracy:5.000000
lat: 31.487172, lng: 74.381506, accuracy:5.000000
lat: 31.487226, lng: 74.381444, accuracy:5.000000
lat: 31.487275, lng: 74.381365, accuracy:5.000000
lat: 31.487332, lng: 74.381282, accuracy:5.000000
lat: 31.487388, lng: 74.381198, accuracy:5.000000
lat: 31.487438, lng: 74.381128, accuracy:5.000000
lat: 31.487493, lng: 74.381053, accuracy:5.000000
lat: 31.487543, lng: 74.380979, accuracy:5.000000
lat: 31.487594, lng: 74.380907, accuracy:5.000000
lat: 31.487643, lng: 74.380855, accuracy:5.000000
lat: 31.487709, lng: 74.380783, accuracy:5.000000
lat: 31.487760, lng: 74.380738, accuracy:5.000000
lat: 31.487811, lng: 74.380684, accuracy:5.000000
lat: 31.487883, lng: 74.380599, accuracy:5.000000
lat: 31.487957, lng: 74.380530, accuracy:5.000000
lat: 31.488018, lng: 74.380464, accuracy:5.000000
lat: 31.488073, lng: 74.380404, accuracy:5.000000
lat: 31.488134, lng: 74.380361, accuracy:5.000000
lat: 31.488189, lng: 74.380316, accuracy:5.000000
lat: 31.488261, lng: 74.380237, accuracy:5.000000
lat: 31.488319, lng: 74.380174, accuracy:5.000000
lat: 31.488381, lng: 74.380111, accuracy:5.000000
lat: 31.488450, lng: 74.380063, accuracy:5.000000
lat: 31.488523, lng: 74.380017, accuracy:5.000000
lat: 31.488589, lng: 74.379943, accuracy:5.000000
lat: 31.488659, lng: 74.379888, accuracy:5.000000
lat: 31.488736, lng: 74.379811, accuracy:5.000000
lat: 31.488811, lng: 74.379753, accuracy:5.000000
lat: 31.488883, lng: 74.379690, accuracy:5.000000
lat: 31.488949, lng: 74.379647, accuracy:5.000000
lat: 31.489034, lng: 74.379589, accuracy:5.000000
lat: 31.489113, lng: 74.379521, accuracy:5.000000
lat: 31.489192, lng: 74.379459, accuracy:5.000000
lat: 31.489262, lng: 74.379396, accuracy:5.000000
lat: 31.489326, lng: 74.379341, accuracy:5.000000
lat: 31.489395, lng: 74.379282, accuracy:5.000000
lat: 31.489460, lng: 74.379223, accuracy:5.000000
