lat: 31.517584, lng: 74.413693, accuracy:5.000000
lat: 31.517492, lng: 74.413704, accuracy:5.000000
lat: 31.517409, lng: 74.413725, accuracy:5.000000
lat: 31.517330, lng: 74.413760, accuracy:5.000000
lat: 31.517255, lng: 74.413809, accuracy:5.000000
lat: 31.517174, lng: 74.413864, accuracy:5.000000
lat: 31.517092, lng: 74.413919, accuracy:5.000000
lat: 31.517016, lng: 74.413983, accuracy:5.000000
lat: 31.516950, lng: 74.414060, accuracy:5.000000
lat: 31.516895, lng: 74.414136, accuracy:5.000000
lat: 31.516848, lng: 74.414232, accuracy:5.000000
lat: 31.516808, lng: 74.414326, accuracy:5.000000
lat: 31.516764, lng: 74.414435, accuracy:5.000000
lat: 31.516733, lng: 74.414538, accuracy:5.000000
lat: 31.516723, lng: 74.414665, accuracy:5.000000
lat: 31.516722, lng: 74.414786, accuracy:5.000000
lat: 31.516709, lng: 74.414916, accuracy:5.000000
lat: 31.516703, lng: 74.415040, accuracy:5.000000
lat: 31.516698, lng: 74.415167, accuracy:5.000000
lat: 31.516694, lng: 74.415303, accuracy:5.000000
lat: 31.516689, lng: 74.415432, accuracy:5.000000
lat: 31.516687, lng: 74.415574, accuracy:5.000000
lat: 31.516685, lng: 74.415719, accuracy:5.000000
lat: 31.516683, lng: 74.415864, accuracy:5.000000
lat: 31.516681, lng: 74.416008, accuracy:5.000000
lat: 31.516684, lng: 74.416145, accuracy:5.000000
lat: 31.516679, lng: 74.416286, accuracy:5.000000
lat: 31.516670, lng: 74.416445, accuracy:5.000000
lat: 31.516663, lng: 74.416605, accuracy:5.000000
lat: 31.516664, lng: 74.416775, accuracy:5.000000
lat: 31.516660, lng: 74.416931, accuracy:5.000000
lat: 31.516654, lng: 74.417091, accuracy:5.000000
lat: 31.516663, lng: 74.417248, accuracy:5.000000
lat: 31.516662, lng: 74.417405, accuracy:5.000000
lat: 31.516664, lng: 74.417560, accuracy:5.000000
lat: 31.516663, lng: 74.417722, accuracy:5.000000
lat: 31.516661, lng: 74.417880, accuracy:5.000000
lat: 31.516657, lng: 74.418016, accuracy:5.000000
lat: 31.516643, lng: 74.418172, accuracy:5.000000
lat: 31.516631, lng: 74.418305, accuracy:5.000000
lat: 31.516638, lng: 74.418473, accuracy:10.000000
lat: 31.516635, lng: 74.418629, accuracy:10.000000
lat: 31.516623, lng: 74.418763, accuracy:10.000000
lat: 31.516605, lng: 74.418903, accuracy:10.000000
lat: 31.516604, lng: 74.419043, accuracy:10.000000
lat: 31.516603, lng: 74.419205, accuracy:5.000000
lat: 31.516606, lng: 74.419350, accuracy:5.000000
lat: 31.516617, lng: 74.419499, accuracy:5.000000
lat: 31.516625, lng: 74.419642, accuracy:5.000000
lat: 31.516628, lng: 74.419775, accuracy:5.000000
lat: 31.516619, lng: 74.419935, accuracy:5.000000
lat: 31.516621, lng: 74.420072, accuracy:5.000000
lat: 31.516626, lng: 74.420211, accuracy:5.000000
lat: 31.516627, lng: 74.420358, accuracy:5.000000
lat: 31.516624, lng: 74.420497, accuracy:5.000000
lat: 31.516625, lng: 74.420644, accuracy:5.000000
lat: 31.516622, lng: 74.420787, accuracy:5.000000
lat: 31.516617, lng: 74.420924, accuracy:5.000000
lat: 31.516615, lng: 74.421068, accuracy:5.000000
lat: 31.516615, lng: 74.421207, accuracy:5.000000
lat: 31.516613, lng: 74.421333, accuracy:5.000000
lat: 31.516614, lng: 74.421461, accuracy:10.000000
lat: 31.516621, lng: 74.421600, accuracy:10.000000
lat: 31.516602, lng: 74.421740, accuracy:10.000000
lat: 31.516598, lng: 74.421841, accuracy:10.000000
lat: 31.516575, lng: 74.421952, accuracy:10.000000
lat: 31.516578, lng: 74.422056, accuracy:10.000000
lat: 31.516600, lng: 74.422187, accuracy:10.000000
lat: 31.516636, lng: 74.422328, accuracy:10.000000
lat: 31.516595, lng: 74.422456, accuracy:10.000000
lat: 31.516538, lng: 74.422573, accuracy:5.000000
lat: 31.516473, lng: 74.422678, accuracy:5.000000
lat: 31.516418, lng: 74.422790, accuracy:5.000000
lat: 31.516357, lng: 74.422890, accuracy:5.000000
lat: 31.516316, lng: 74.422998, accuracy:5.000000
lat: 31.516269, lng: 74.423089, accuracy:5.000000
lat: 31.516223, lng: 74.423189, accuracy:10.000000
lat: 31.516170, lng: 74.423273, accuracy:10.000000
lat: 31.516123, lng: 74.423362, accuracy:10.000000
lat: 31.516067, lng: 74.423450, accuracy:10.000000
lat: 31.516069, lng: 74.423453, accuracy:10.000000
lat: 31.516052, lng: 74.423473, accuracy:10.000000
lat: 31.516043, lng: 74.423502, accuracy:10.000000
lat: 31.516026, lng: 74.423520, accuracy:10.000000
lat: 31.516015, lng: 74.423553, accuracy:10.000000
lat: 31.515997, lng: 74.423591, accuracy:10.000000
lat: 31.515974, lng: 74.423626, accuracy:5.000000
lat: 31.515955, lng: 74.423654, accuracy:5.000000
lat: 31.515927, lng: 74.423677, accuracy:5.000000
lat: 31.515870, lng: 74.423703, accuracy:5.000000
lat: 31.515804, lng: 74.423729, accuracy:5.000000
lat: 31.515734, lng: 74.423753, accuracy:5.000000
lat: 31.515665, lng: 74.423765, accuracy:5.000000
lat: 31.515586, lng: 74.423775, accuracy:5.000000
lat: 31.515505, lng: 74.423781, accuracy:5.000000
lat: 31.515418, lng: 74.423786, accuracy:5.000000
lat: 31.515326, lng: 74.423791, accuracy:5.000000
lat: 31.515230, lng: 74.423791, accuracy:5.000000
lat: 31.515127, lng: 74.423793, accuracy:5.000000
lat: 31.515013, lng: 74.423798, accuracy:5.000000
lat: 31.514898, lng: 74.423804, accuracy:5.000000
lat: 31.514784, lng: 74.423807, accuracy:5.000000
lat: 31.514668, lng: 74.423812, accuracy:5.000000
lat: 31.514555, lng: 74.423806, accuracy:5.000000
lat: 31.514445, lng: 74.423797, accuracy:5.000000
lat: 31.514331, lng: 74.423803, accuracy:5.000000
lat: 31.514211, lng: 74.423791, accuracy:5.000000
lat: 31.514094, lng: 74.423773, accuracy:5.000000
lat: 31.513971, lng: 74.423772, accuracy:5.000000
lat: 31.513852, lng: 74.423769, accuracy:5.000000
lat: 31.513732, lng: 74.423776, accuracy:5.000000
lat: 31.513605, lng: 74.423784, accuracy:5.000000
lat: 31.513483, lng: 74.423788, accuracy:5.000000
lat: 31.513364, lng: 74.423787, accuracy:5.000000
lat: 31.513244, lng: 74.423792, accuracy:5.000000
lat: 31.513120, lng: 74.423789, accuracy:5.000000
lat: 31.512998, lng: 74.423789, accuracy:5.000000
lat: 31.512882, lng: 74.423794, accuracy:5.000000
lat: 31.512757, lng: 74.423807, accuracy:5.000000
lat: 31.512632, lng: 74.423809, accuracy:5.000000
lat: 31.512508, lng: 74.423816, accuracy:5.000000
lat: 31.512376, lng: 74.423812, accuracy:5.000000
lat: 31.512255, lng: 74.423812, accuracy:5.000000
lat: 31.512135, lng: 74.423815, accuracy:5.000000
lat: 31.512020, lng: 74.423810, accuracy:5.000000
lat: 31.511894, lng: 74.423809, accuracy:5.000000
lat: 31.511772, lng: 74.423810, accuracy:5.000000
lat: 31.511649, lng: 74.423809, accuracy:5.000000
lat: 31.511537, lng: 74.423807, accuracy:5.000000
lat: 31.511423, lng: 74.423803, accuracy:5.000000
lat: 31.511313, lng: 74.423799, accuracy:5.000000
lat: 31.511199, lng: 74.423801, accuracy:5.000000
lat: 31.511084, lng: 74.423801, accuracy:5.000000
lat: 31.510969, lng: 74.423801, accuracy:5.000000
lat: 31.510849, lng: 74.423796, accuracy:5.000000
lat: 31.510740, lng: 74.423796, accuracy:5.000000
lat: 31.510629, lng: 74.423802, accuracy:5.000000
lat: 31.510517, lng: 74.423804, accuracy:5.000000
lat: 31.510402, lng: 74.423806, accuracy:5.000000
lat: 31.510287, lng: 74.423807, accuracy:5.000000
lat: 31.510188, lng: 74.423778, accuracy:5.000000
lat: 31.510077, lng: 74.423773, accuracy:5.000000
lat: 31.509964, lng: 74.423777, accuracy:5.000000
lat: 31.509856, lng: 74.423766, accuracy:5.000000
lat: 31.509752, lng: 74.423757, accuracy:5.000000
lat: 31.509646, lng: 74.423762, accuracy:5.000000
lat: 31.509535, lng: 74.423762, accuracy:5.000000
lat: 31.509417, lng: 74.423727, accuracy:5.000000
lat: 31.509305, lng: 74.423726, accuracy:5.000000
lat: 31.509196, lng: 74.423730, accuracy:5.000000
lat: 31.509080, lng: 74.423723, accuracy:5.000000
lat: 31.508965, lng: 74.423713, accuracy:5.000000
lat: 31.508837, lng: 74.423702, accuracy:5.000000
lat: 31.508710, lng: 74.423687, accuracy:5.000000
lat: 31.508597, lng: 74.423677, accuracy:5.000000
lat: 31.508477, lng: 74.423660, accuracy:5.000000
lat: 31.508361, lng: 74.423652, accuracy:5.000000
lat: 31.508256, lng: 74.423645, accuracy:5.000000
lat: 31.508137, lng: 74.423635, accuracy:5.000000
lat: 31.508025, lng: 74.423624, accuracy:5.000000
lat: 31.507912, lng: 74.423611, accuracy:5.000000
lat: 31.507789, lng: 74.423612, accuracy:5.000000
lat: 31.507668, lng: 74.423602, accuracy:5.000000
lat: 31.507544, lng: 74.423585, accuracy:5.000000
lat: 31.507424, lng: 74.423586, accuracy:5.000000
lat: 31.507302, lng: 74.423581, accuracy:5.000000
lat: 31.507197, lng: 74.423589, accuracy:5.000000
lat: 31.507076, lng: 74.423580, accuracy:5.000000
lat: 31.506955, lng: 74.423578, accuracy:5.000000
lat: 31.506827, lng: 74.423579, accuracy:5.000000
lat: 31.506705, lng: 74.423571, accuracy:5.000000
lat: 31.506576, lng: 74.423573, accuracy:5.000000
lat: 31.506457, lng: 74.423570, accuracy:5.000000
lat: 31.506336, lng: 74.423566, accuracy:5.000000
lat: 31.506211, lng: 74.423558, accuracy:5.000000
lat: 31.506086, lng: 74.423558, accuracy:5.000000
lat: 31.505961, lng: 74.423557, accuracy:5.000000
lat: 31.505844, lng: 74.423562, accuracy:5.000000
lat: 31.505727, lng: 74.423567, accuracy:5.000000
lat: 31.505602, lng: 74.423564, accuracy:5.000000
lat: 31.505486, lng: 74.423566, accuracy:5.000000
lat: 31.505369, lng: 74.423569, accuracy:5.000000
lat: 31.505248, lng: 74.423567, accuracy:5.000000
lat: 31.505127, lng: 74.423565, accuracy:5.000000
lat: 31.505001, lng: 74.423569, accuracy:5.000000
lat: 31.504878, lng: 74.423568, accuracy:5.000000
lat: 31.504748, lng: 74.423555, accuracy:5.000000
lat: 31.504639, lng: 74.423563, accuracy:5.000000
lat: 31.504521, lng: 74.423561, accuracy:5.000000
lat: 31.504403, lng: 74.423562, accuracy:5.000000
lat: 31.504283, lng: 74.423540, accuracy:5.000000
lat: 31.504170, lng: 74.423529, accuracy:5.000000
lat: 31.504049, lng: 74.423521, accuracy:5.000000
lat: 31.503930, lng: 74.423520, accuracy:5.000000
lat: 31.503814, lng: 74.423523, accuracy:5.000000
lat: 31.503695, lng: 74.423508, accuracy:5.000000
lat: 31.503571, lng: 74.423528, accuracy:5.000000
lat: 31.503453, lng: 74.423527, accuracy:5.000000
lat: 31.503339, lng: 74.423529, accuracy:5.000000
lat: 31.503226, lng: 74.423522, accuracy:5.000000
lat: 31.503113, lng: 74.423518, accuracy:5.000000
lat: 31.503005, lng: 74.423511, accuracy:5.000000
lat: 31.502894, lng: 74.423507, accuracy:5.000000
lat: 31.502783, lng: 74.423517, accuracy:5.000000
lat: 31.502666, lng: 74.423526, accuracy:5.000000
lat: 31.502555, lng: 74.423544, accuracy:5.000000
lat: 31.502428, lng: 74.423549, accuracy:5.000000
lat: 31.502313, lng: 74.423557, accuracy:5.000000
lat: 31.502204, lng: 74.423568, accuracy:5.000000
lat: 31.502105, lng: 74.423560, accuracy:5.000000
lat: 31.502006, lng: 74.423563, accuracy:5.000000
lat: 31.501917, lng: 74.423567, accuracy:10.000000
lat: 31.501839, lng: 74.423559, accuracy:10.000000
lat: 31.501774, lng: 74.423548, accuracy:10.000000
lat: 31.501701, lng: 74.423528, accuracy:10.000000
lat: 31.501628, lng: 74.423501, accuracy:10.000000
lat: 31.501555, lng: 74.423479, accuracy:10.000000
lat: 31.501479, lng: 74.423440, accuracy:10.000000
lat: 31.501408, lng: 74.423399, accuracy:10.000000
lat: 31.501325, lng: 74.423356, accuracy:10.000000
lat: 31.501236, lng: 74.423289, accuracy:10.000000
lat: 31.501143, lng: 74.423210, accuracy:10.000000
lat: 31.501046, lng: 74.423129, accuracy:10.000000
lat: 31.500954, lng: 74.423074, accuracy:10.000000
lat: 31.500869, lng: 74.423002, accuracy:10.000000
lat: 31.500779, lng: 74.422919, accuracy:10.000000
lat: 31.500721, lng: 74.422897, accuracy:10.000000
lat: 31.500630, lng: 74.422841, accuracy:10.000000
lat: 31.500541, lng: 74.422717, accuracy:10.000000
lat: 31.500431, lng: 74.422607, accuracy:10.000000
lat: 31.500284, lng: 74.422550, accuracy:10.000000
lat: 31.500187, lng: 74.422530, accuracy:10.000000
lat: 31.500111, lng: 74.422454, accuracy:10.000000
lat: 31.500008, lng: 74.422365, accuracy:10.000000
lat: 31.499913, lng: 74.422278, accuracy:10.000000
lat: 31.499820, lng: 74.422221, accuracy:10.000000
lat: 31.499719, lng: 74.422159, accuracy:10.000000
lat: 31.499616, lng: 74.422086, accuracy:10.000000
lat: 31.499509, lng: 74.422018, accuracy:10.000000
lat: 31.499403, lng: 74.421926, accuracy:10.000000
lat: 31.499294, lng: 74.421847, accuracy:10.000000
lat: 31.499193, lng: 74.421771, accuracy:10.000000
lat: 31.499085, lng: 74.421700, accuracy:10.000000
lat: 31.498987, lng: 74.421621, accuracy:10.000000
lat: 31.498877, lng: 74.421556, accuracy:10.000000
lat: 31.498778, lng: 74.421486, accuracy:10.000000
lat: 31.498680, lng: 74.421418, accuracy:10.000000
lat: 31.498579, lng: 74.421342, accuracy:10.000000
